"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CBG28158",0,NA,NA,NA,NA,NA
"CBG28159",0.0399700504676256,-0.0299155696450025,0.719439897011508,-0.0415817495933562,0.96683212237196,NA
"CBG28160",0.260954121341048,-0.1733903652493,0.980978485418457,-0.176752464836511,0.859702828617374,NA
"CBG28168",0.244281854095635,0.556700031565705,0.96407760433459,0.577443173726602,0.563640116101852,NA
"CBG28175",0,NA,NA,NA,NA,NA
"CBG28178",0,NA,NA,NA,NA,NA
"CBG28179",0,NA,NA,NA,NA,NA
"CBG28187",0,NA,NA,NA,NA,NA
"CBG28190",0.0295289476850294,-0.169484857250848,0.721952095089422,-0.234759145937315,0.814395678441941,NA
"CBG28195",0,NA,NA,NA,NA,NA
"CBG28200",0.050741364179975,-0.137191165600368,0.722403164657776,-0.18990941943805,0.849380111151199,NA
"CBG28219",0,NA,NA,NA,NA,NA
"CBG28220",0,NA,NA,NA,NA,NA
"CBG28226",0.229342417877387,0.109698459882002,0.901177593582052,0.121727904314583,0.90311451312326,NA
"CBG28238",0.0343661008844669,0.270022661873287,0.72995787501954,0.369915403496481,0.711445523955741,NA
"CBG28244",0,NA,NA,NA,NA,NA
"CBG28252",0,NA,NA,NA,NA,NA
"CBG28253",0.0354392364616731,0.121334881324343,0.722517884940887,0.167933394941871,0.866635677830294,NA
"CBG28263",0.109712305986469,0.206734186370233,0.724870602804943,0.285201504337822,0.775489767908711,NA
"CBG28273",0,NA,NA,NA,NA,NA
"CBG28274",0.0786042933456534,-0.0299155696450028,0.719439897011508,-0.0415817495933567,0.966832122371959,NA
"CBG28275",0.401716636276559,0.727823999643775,1.00905930656235,0.721289615893158,0.470731344540889,NA
"CBG28276",0,NA,NA,NA,NA,NA
"CBG28282",0,NA,NA,NA,NA,NA
"CBG28290",0,NA,NA,NA,NA,NA
"CBG28298",0.0226515844944709,0.0959605756586719,0.721515610517473,0.132998613279966,0.894194477199678,NA
"CBG28312",0,NA,NA,NA,NA,NA
"CBG28325",0.0935016810094434,0.00299421346303548,0.729414842606987,0.00410495274860862,0.996724730777458,NA
